course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp,subject
614472,The Advanced Forex Course for Smart Traders,https://www.udemy.com/advanced-forex-course/,0,8236,144,25,All Levels,0.81,5,2015-10-09T16:46:49Z,Business Finance
985922,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,105,8121,689,40,Beginner Level,0.29,3.5,2016-10-18T00:51:59Z,Business Finance
58977,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,95,8095,249,12,All Levels,0.18,0.5833333333,2013-06-09T00:21:26Z,Business Finance
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,185,7941,713,40,Expert Level,0.22,6.5,2014-08-11T08:01:14Z,Business Finance
434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,195,7884,118,68,All Levels,0.18,10,2015-05-19T23:25:41Z,Business Finance
256200,How To Start Trading Penny Stocks In 10 Easy Steps 2017,https://www.udemy.com/penny-stock-trading-analyzing-the-most-profitable-stocks/,50,7750,58,15,Beginner Level,0.94,1.5,2014-07-17T08:02:54Z,Business Finance
596598,Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,95,7743,340,33,All Levels,0.07,1.5,2015-09-10T00:30:48Z,Business Finance
627540,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,115,7489,1190,25,Beginner Level,0.15,1,2015-10-22T21:54:28Z,Business Finance
233900,Get Started With Penny Stocks -Step by Step Guide to Trading,https://www.udemy.com/trading-penny-stocks-advanced-strategies/,200,7159,61,18,All Levels,0.11,2,2014-06-02T03:34:56Z,Business Finance
377370,Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,60,6967,16,34,Beginner Level,0.48,1,2017-05-02T20:53:24Z,Business Finance
